Label1	Label2
1	2
2	3
3	16
4	11
4	89
5	11
5	13
5	97
6	7
6	9
6	97
7	8
7	9
8	9
8	15
9	15
9	19
9	95
9	96
9	97
11	14
11	90
11	91
12	14
12	18
12	22
12	89
13	19
13	24
13	90
13	95
13	96
13	97
14	22
14	91
15	19
16	23
17	18
17	20
18	20
19	24
19	30
19	95
20	27
20	31
22	25
22	26
23	29
24	28
24	30
24	37
24	38
24	39
24	90
24	92
25	26
25	31
25	32
26	32
26	34
26	36
28	34
28	38
28	92
29	33
29	40
30	37
31	32
31	35
32	36
32	94
33	41
34	36
34	38
34	44
35	40
37	39
37	42
37	43
38	44
38	45
39	42
39	45
40	41
41	46
42	43
42	45
42	49
42	51
42	56
43	49
44	45
44	48
45	48
45	51
46	53
47	50
47	93
48	51
48	54
48	59
49	56
49	57
49	58
50	54
50	64
50	93
51	56
51	63
52	55
52	60
53	60
54	59
54	64
55	61
55	65
56	58
56	62
57	58
58	62
58	69
58	71
59	67
60	61
60	66
60	72
60	73
61	65
61	72
62	63
62	71
63	67
63	71
64	70
65	74
66	73
68	70
68	75
69	71
70	74
70	77
71	76
71	78
72	73
72	79
72	82
74	77
74	80
75	77
75	83
75	99
77	84
77	99
78	86
79	81
79	82
80	82
80	85
81	87
82	87
83	98
88	89
90	91
90	92
91	92
93	94
95	96
96	97
98	99
