Centroid.X	Centroid.Y
7.126	6.653
49.222	14.422
110.106	22.166
297.847	16.726
387.648	19.272
465.878	7.385
503.643	5.021
529.424	21.517
499.753	45.100
10.947	47.987
340.505	52.452
242.521	61.419
425.246	76.130
293.973	84.088
531.343	85.519
68.525	74.461
174.206	71.428
201.244	89.031
494.537	111.167
149.625	116.227
9.702	116.274
252.641	113.401
69.065	115.793
443.330	156.550
219.267	133.547
268.245	156.550
114.151	149.674
366.302	162.124
43.161	165.105
520.812	165.532
184.494	171.999
227.426	187.293
10.046	191.270
316.983	200.495
123.924	211.374
270.807	198.602
510.988	207.068
382.248	217.625
455.146	221.710
61.370	214.602
25.591	228.580
471.978	268.566
525.517	254.610
341.781	258.371
405.197	268.885
31.435	275.450
164.339	285.998
342.771	314.364
506.873	312.606
207.258	328.070
406.010	326.189
74.652	329.384
21.476	333.099
276.421	342.259
131.281	338.599
459.922	334.922
528.185	351.312
497.772	376.523
327.619	373.242
42.913	388.123
99.065	384.123
450.249	373.781
409.131	388.106
222.248	379.231
150.341	401.841
4.188	390.673
357.130	416.523
284.184	415.198
521.727	429.329
227.734	423.948
459.599	436.382
76.148	441.102
16.844	434.737
179.457	462.868
300.175	470.832
398.405	480.470
242.732	480.860
487.343	495.939
63.617	479.500
134.181	491.202
34.374	499.541
97.625	494.701
339.134	503.693
206.963	512.441
149.785	515.250
528.700	513.737
82.828	516.872
187.646	16.364
231.382	19.401
381.629	92.785
333.062	95.964
366.931	122.957
202.970	268.720
224.245	234.113
471.435	77.286
467.167	54.033
440.341	31.429
311.712	517.433
280.601	512.775
